"","Year","Police Region","Local Government Area","Incidents Recorded"
"1",2020,"1 North West Metro","Banyule",6717
"2",2020,"1 North West Metro","Brimbank",15399
"3",2020,"1 North West Metro","Darebin",12046
"4",2020,"1 North West Metro","Hobsons Bay",4497
"5",2020,"1 North West Metro","Hume",16216
"6",2020,"1 North West Metro","Maribyrnong",7342
"7",2020,"1 North West Metro","Melbourne",26850
"8",2020,"1 North West Metro","Melton",10113
"9",2020,"1 North West Metro","Moonee Valley",6463
"10",2020,"1 North West Metro","Moreland",10829
"11",2020,"1 North West Metro","Nillumbik",1632
"12",2020,"1 North West Metro","Whittlesea",12155
"13",2020,"1 North West Metro","Wyndham",13246
"14",2020,"1 North West Metro","Yarra",11403
"15",2020,"1 North West Metro","Total",154908
"16",2020,"2 Eastern","Alpine",413
"17",2020,"2 Eastern","Bass Coast",2053
"18",2020,"2 Eastern","Baw Baw",3690
"19",2020,"2 Eastern","Benalla",996
"20",2020,"2 Eastern","Boroondara",6252
"21",2020,"2 Eastern","East Gippsland",3686
"22",2020,"2 Eastern","Greater Shepparton",6036
"23",2020,"2 Eastern","Indigo",446
"24",2020,"2 Eastern","Knox",8756
"25",2020,"2 Eastern","Latrobe",9646
"26",2020,"2 Eastern","Manningham",3439
"27",2020,"2 Eastern","Mansfield",372
"28",2020,"2 Eastern","Maroondah",5777
"29",2020,"2 Eastern","Mitchell",3227
"30",2020,"2 Eastern","Moira",1604
"31",2020,"2 Eastern","Monash",9916
"32",2020,"2 Eastern","Murrindindi",657
"33",2020,"2 Eastern","South Gippsland",1260
"34",2020,"2 Eastern","Strathbogie",483
"35",2020,"2 Eastern","Towong",158
"36",2020,"2 Eastern","Wangaratta",1652
"37",2020,"2 Eastern","Wellington",3325
"38",2020,"2 Eastern","Whitehorse",7223
"39",2020,"2 Eastern","Wodonga",2588
"40",2020,"2 Eastern","Yarra Ranges",6370
"41",2020,"2 Eastern","Total",90025
"42",2020,"3 Southern Metro","Bayside",4138
"43",2020,"3 Southern Metro","Cardinia",5844
"44",2020,"3 Southern Metro","Casey",17296
"45",2020,"3 Southern Metro","Frankston",10822
"46",2020,"3 Southern Metro","Glen Eira",6277
"47",2020,"3 Southern Metro","Greater Dandenong",15005
"48",2020,"3 Southern Metro","Kingston",8640
"49",2020,"3 Southern Metro","Mornington Peninsula",8134
"50",2020,"3 Southern Metro","Port Phillip",10319
"51",2020,"3 Southern Metro","Stonnington",9077
"52",2020,"3 Southern Metro","Total",95552
"53",2020,"4 Western","Ararat",1104
"54",2020,"4 Western","Ballarat",7383
"55",2020,"4 Western","Buloke",284
"56",2020,"4 Western","Campaspe",2500
"57",2020,"4 Western","Central Goldfields",809
"58",2020,"4 Western","Colac-Otway",1364
"59",2020,"4 Western","Corangamite",651
"60",2020,"4 Western","Gannawarra",685
"61",2020,"4 Western","Glenelg",1084
"62",2020,"4 Western","Golden Plains",448
"63",2020,"4 Western","Greater Bendigo",8121
"64",2020,"4 Western","Greater Geelong",16605
"65",2020,"4 Western","Hepburn",563
"66",2020,"4 Western","Hindmarsh",313
"67",2020,"4 Western","Horsham",1484
"68",2020,"4 Western","Loddon",394
"69",2020,"4 Western","Macedon Ranges",1918
"70",2020,"4 Western","Mildura",4667
"71",2020,"4 Western","Moorabool",2050
"72",2020,"4 Western","Mount Alexander",763
"73",2020,"4 Western","Moyne",535
"74",2020,"4 Western","Northern Grampians",836
"75",2020,"4 Western","Pyrenees",371
"76",2020,"4 Western","Queenscliffe",100
"77",2020,"4 Western","Southern Grampians",833
"78",2020,"4 Western","Surf Coast",1200
"79",2020,"4 Western","Swan Hill",1819
"80",2020,"4 Western","Warrnambool",2323
"81",2020,"4 Western","West Wimmera",132
"82",2020,"4 Western","Yarriambiack",365
"83",2020,"4 Western","Total",61704
"84",2020,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1329
"85",2020,"Justice Institutions and Immigration Facilities","Total",1329
"86",2020,"Unincorporated Vic","Unincorporated Vic",37
"87",2020,"Unincorporated Vic","Total",37
"88",2019,"1 North West Metro","Banyule",7047
"89",2019,"1 North West Metro","Brimbank",15153
"90",2019,"1 North West Metro","Darebin",11420
"91",2019,"1 North West Metro","Hobsons Bay",4999
"92",2019,"1 North West Metro","Hume",15879
"93",2019,"1 North West Metro","Maribyrnong",6909
"94",2019,"1 North West Metro","Melbourne",26971
"95",2019,"1 North West Metro","Melton",9080
"96",2019,"1 North West Metro","Moonee Valley",6476
"97",2019,"1 North West Metro","Moreland",10845
"98",2019,"1 North West Metro","Nillumbik",1655
"99",2019,"1 North West Metro","Whittlesea",12068
"100",2019,"1 North West Metro","Wyndham",13220
"101",2019,"1 North West Metro","Yarra",11074
"102",2019,"1 North West Metro","Total",152796
"103",2019,"2 Eastern","Alpine",426
"104",2019,"2 Eastern","Bass Coast",1836
"105",2019,"2 Eastern","Baw Baw",3606
"106",2019,"2 Eastern","Benalla",961
"107",2019,"2 Eastern","Boroondara",6177
"108",2019,"2 Eastern","East Gippsland",3645
"109",2019,"2 Eastern","Greater Shepparton",6349
"110",2019,"2 Eastern","Indigo",434
"111",2019,"2 Eastern","Knox",8792
"112",2019,"2 Eastern","Latrobe",10104
"113",2019,"2 Eastern","Manningham",3824
"114",2019,"2 Eastern","Mansfield",315
"115",2019,"2 Eastern","Maroondah",5996
